2017-05-05T20:06:11.619+0200 I CONTROL  [initandlisten] MongoDB starting : pid=8791 port=27001 dbpath=/home/couto/workspace/mongoDBM102/final_exam/rollback/data/z1 64-bit host=couto-laptop
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten] db version v3.2.12
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten] git version: ef3e1bc78e997f0d9f22f45aeb1d8e3b6ac14a14
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten] allocator: tcmalloc
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten] modules: none
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten] build environment:
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten]     distmod: ubuntu1604
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten]     distarch: x86_64
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten]     target_arch: x86_64
2017-05-05T20:06:11.620+0200 I CONTROL  [initandlisten] options: { net: { port: 27001 }, processManagement: { fork: true }, replication: { oplogSizeMB: 50, replSet: "z" }, storage: { dbPath: "data/z1", mmapv1: { smallFiles: true } }, systemLog: { destination: "file", path: "a.log" } }
2017-05-05T20:06:11.648+0200 I -        [initandlisten] Detected data files in /home/couto/workspace/mongoDBM102/final_exam/rollback/data/z1 created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2017-05-05T20:06:11.648+0200 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=4G,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-05-05T20:06:12.549+0200 I STORAGE  [initandlisten] Starting WiredTigerRecordStoreThread local.oplog.rs
2017-05-05T20:06:12.549+0200 I STORAGE  [initandlisten] The size storer reports that the oplog contains 14 records totaling to 1318 bytes
2017-05-05T20:06:12.549+0200 I STORAGE  [initandlisten] Scanning the oplog to determine where to place markers for truncation
2017-05-05T20:06:12.571+0200 I STORAGE  [initandlisten] dropping unused ident: collection-11--8570628037049654453
